search_query_original,igdb_id,name,slug,image_url
Fallout,10307,Fallout: New Vegas - Lonesome Road,fallout-new-vegas-lonesome-road,//images.igdb.com/igdb/image/upload/t_cover_big/co7dt7.webp
Fallout,11119,Fallout Shelter,fallout-shelter,//images.igdb.com/igdb/image/upload/t_cover_big/cocjqz.webp
Fallout,18029,Fallout 4: Automatron,fallout-4-automatron,//images.igdb.com/igdb/image/upload/t_cover_big/ar5k67.webp
Fallout,18030,Fallout 4: Wasteland Workshop,fallout-4-wasteland-workshop,//images.igdb.com/igdb/image/upload/t_cover_big/co691p.webp
Fallout,18031,Fallout 4: Far Harbor,fallout-4-far-harbor,//images.igdb.com/igdb/image/upload/t_cover_big/cob5zr.webp
Fallout,19532,Fallout 4: Contraptions Workshop,fallout-4-contraptions-workshop,//images.igdb.com/igdb/image/upload/t_cover_big/co691o.webp
Elder Scrolls,52,The Elder Scrolls: Arena,the-elder-scrolls-arena,//images.igdb.com/igdb/image/upload/t_cover_big/co2knc.webp
Elder Scrolls,53,The Elder Scrolls II: Daggerfall,the-elder-scrolls-ii-daggerfall,//images.igdb.com/igdb/image/upload/t_cover_big/co1yan.webp
Elder Scrolls,54,An Elder Scrolls Legend: Battlespire,an-elder-scrolls-legend-battlespire,//images.igdb.com/igdb/image/upload/t_cover_big/co53qh.webp
Elder Scrolls,55,The Elder Scrolls Adventures: Redguard,the-elder-scrolls-adventures-redguard,//images.igdb.com/igdb/image/upload/t_cover_big/co53qi.webp
Elder Scrolls,56,The Elder Scrolls III: Morrowind,the-elder-scrolls-iii-morrowind,//images.igdb.com/igdb/image/upload/t_cover_big/co2knd.webp
Elder Scrolls,59,The Elder Scrolls IV: Oblivion,the-elder-scrolls-iv-oblivion,//images.igdb.com/igdb/image/upload/t_cover_big/co8fpz.webp
Elder Scrolls,472,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,//images.igdb.com/igdb/image/upload/t_cover_big/ar5vli.webp
Elder Scrolls,1081,The Elder Scrolls Online,the-elder-scrolls-online,//images.igdb.com/igdb/image/upload/t_cover_big/co9nt3.webp
Elder Scrolls,2992,The Elder Scrolls V: Skyrim - Dawnguard,the-elder-scrolls-v-skyrim-dawnguard,//images.igdb.com/igdb/image/upload/t_cover_big/co21lv.webp
Elder Scrolls,6068,The Elder Scrolls V: Skyrim - Hearthfire,the-elder-scrolls-v-skyrim-hearthfire,//images.igdb.com/igdb/image/upload/t_cover_big/co21lx.webp
Elder Scrolls,6069,The Elder Scrolls V: Skyrim - Dragonborn,the-elder-scrolls-v-skyrim-dragonborn,//images.igdb.com/igdb/image/upload/t_cover_big/co21lw.webp
Elder Scrolls,11120,The Elder Scrolls: Legends,the-elder-scrolls-legends,//images.igdb.com/igdb/image/upload/t_cover_big/co3woi.webp
Elder Scrolls,19457,The Elder Scrolls V: Skyrim - Special Edition,the-elder-scrolls-v-skyrim-special-edition,//images.igdb.com/igdb/image/upload/t_cover_big/co1vco.webp
Elder Scrolls,23477,The Elder Scrolls Online: Orsinium,the-elder-scrolls-online-orsinium,//images.igdb.com/igdb/image/upload/t_cover_big/co1wxo.webp
Elder Scrolls,24775,The Elder Scrolls III: Morrowind - Game of the Year Edition,the-elder-scrolls-iii-morrowind-game-of-the-year-edition,//images.igdb.com/igdb/image/upload/t_cover_big/co1ycf.webp
Elder Scrolls,24784,The Elder Scrolls Online: Gold Edition,the-elder-scrolls-online-gold-edition,//images.igdb.com/igdb/image/upload/t_cover_big/co9fm8.webp
Elder Scrolls,27030,The Elder Scrolls Online: Morrowind,the-elder-scrolls-online-morrowind,//images.igdb.com/igdb/image/upload/t_cover_big/co1yck.webp
Elder Scrolls,27844,The Elder Scrolls IV: Oblivion - Game of the Year Edition Deluxe,the-elder-scrolls-iv-oblivion-game-of-the-year-edition-deluxe,//images.igdb.com/igdb/image/upload/t_cover_big/co7ymf.webp
Elder Scrolls,27845,The Elder Scrolls IV: Oblivion - Game of the Year Edition,the-elder-scrolls-iv-oblivion-game-of-the-year-edition,//images.igdb.com/igdb/image/upload/t_cover_big/co1ycb.webp
Elder Scrolls,37088,The Elder Scrolls V: Skyrim VR,the-elder-scrolls-v-skyrim-vr,//images.igdb.com/igdb/image/upload/t_cover_big/co1tci.webp
Xenoblade,28526,Edge of Eternity,edge-of-eternity,//images.igdb.com/igdb/image/upload/t_cover_big/co8q9v.webp
Xenoblade,68287,Left Alive,left-alive,//images.igdb.com/igdb/image/upload/t_cover_big/co5wps.webp
Xenoblade,202850,Trinity Trigger,trinity-trigger,//images.igdb.com/igdb/image/upload/t_cover_big/coaw3h.webp
Xenoblade,55687,Torn Familjen,torn-familjen,https://krakenkeys.com/storage/images/missing_game_art.png
Xenoblade,132507,Sol-Hel,sol-hel,//images.igdb.com/igdb/image/upload/t_cover_big/co41rk.webp
Xenoblade,295815,Eclipse of Elysium,eclipse-of-elysium,//images.igdb.com/igdb/image/upload/t_cover_big/co81b9.webp
Xenoblade,333201,Edge of Memories,edge-of-memories,//images.igdb.com/igdb/image/upload/t_cover_big/co9gem.webp
Xenoblade,369997,Chronoscript: The Endless End,chronoscript-the-endless-end,//images.igdb.com/igdb/image/upload/t_cover_big/coajy0.webp
Xenoblade,390062,Chronicles Meteorfall,chronicles-meteorfall,//images.igdb.com/igdb/image/upload/t_cover_big/cobjd5.webp
Xenoblade,407795,Beach Defense: Zombie Invasion,beach-defense-zombie-invasion,//images.igdb.com/igdb/image/upload/t_cover_big/cocc18.webp
Xenoblade,133355,XenovaderS,xenovaders,//images.igdb.com/igdb/image/upload/t_cover_big/co3l94.webp
Xenoblade,209133,Alien Xenoblaster,alien-xenoblaster,//images.igdb.com/igdb/image/upload/t_cover_big/co5788.webp
